name,rmse,group_proxy_rmse,mae,r2,weight
ensemble_v7,11.906642257302739,12.864581436683618,7.488322193223695,0.7365528917917443,1.0
lgb_target,12.244994427027862,13.197922625623914,7.813765913383066,0.7213673476629912,0.3321239323690613
cat_target,12.300197439393708,13.264461345948595,7.753685440065516,0.718849415449533,0.25662118474926293
lgb_base,12.30835624380647,13.261299047296362,7.87812184002825,0.7184763135696334,0.14561374222042142
cat_d6,12.33067563203678,13.297354050349114,7.796911294851593,0.7174543845043048,4.5509386190079036e-17
extra_trees_target,12.46960964672674,13.494308364442464,7.754127225346123,0.7110514348436557,0.13322060716683778
lgb_wide,12.483859821855523,13.435584423918723,8.03646329206234,0.7103906410360035,0.0
extra_trees,12.528466498993444,13.574411612301475,7.825170011883246,0.7083173093531032,0.1324205334944165
xgb_d4,12.531862328518862,13.511861442891183,8.000180149122308,0.7081591672643277,3.5588936311836677e-17
lgb_segmented,12.839166773060471,13.819192421504756,8.128690094349999,0.6936707231338284,2.829767670187166e-17
ridge,15.094632203804125,16.3907979500962,9.90783764249464,0.5765911840552271,0.0
