name,rmse,mae,r2
cat_num_d6,11.248535554823928,6.988770561852321,0.7648706754623343
cat_num_d7_deep,11.194296007743374,6.933004290338529,0.7671327584305256
ridge_te40,14.472837888409304,9.382512100320136,0.6107557367439074
lgb_base,11.203550291287135,6.943172229494402,0.7667475782899602
lgb_base_log,11.48110989048079,6.9027541366831136,0.7550471070072781
lgb_extra_wide,11.263347901339314,6.95031067814847,0.764251019660335
xgb_d4,11.2599862141608,7.029359168331289,0.7643917231285375
hgb,11.579236993848635,7.247337509866494,0.7508420717612978
ensemble_v8_standard_source_te_linear_standard,12.035690950183092,,
ensemble_v8_standard_source_te_linear_group_aware,12.038112122611746,,
ensemble_v8_standard_source_te_stack_ridge,11.983717117380525,,
ensemble_v8_standard_source_te_stack_lgb,12.227678313645702,,
ensemble_v8_standard_source_te_CHOSEN_stack_ridge,11.983717117380525,,
