slice,count,rmse,mae
ensemble_v7:all,11210,11.906642257302739,7.488322193223695
ensemble_v7:bandB_yes,1224,12.804963926258946,8.092449586090702
ensemble_v7:bandB_no,9986,11.791826254075493,7.414273331930962
ensemble_v7:tail_ge_75,650,33.26578612775003,25.92519980180629
ensemble_v7:tail_ge_100,246,45.88843353508482,38.78630505993864
ensemble_v7:top5pct_ge_78.685,562,35.02849077747845,27.654036285504443
