fold,model,rmse,mae,best_iter,seconds_elapsed
1,lgb_target,13.285338428672015,8.239961663046403,594.0,10.239702999999281
1,cat_target,13.29202660323232,8.060031033161648,1838.0,88.10094229999959
1,extra_trees_target,13.538316655806545,7.924978311910593,,143.5223627000014
1,lgb_base,13.186566684079809,8.182701639147844,879.0,159.2835899999991
1,lgb_wide,13.48416750886504,8.361304222755233,619.0,186.44086100000277
1,lgb_segmented,13.917502845845057,8.345942043471442,501.0,210.28241710000293
1,xgb_d4,13.56276788353595,8.3030586645438,1292.0,238.3192093999969
1,cat_d6,13.291245785844776,8.079922360377747,2498.0,365.5848957999988
1,ridge,16.557041666444096,10.041681373620657,,366.6855854000023
1,extra_trees,13.526843284459115,7.962496754571589,,425.58291720000125
2,lgb_target,11.81870171565976,7.737326114147387,431.0,13.083643400001165
2,cat_target,12.11374857324019,7.686862835847768,1722.0,102.39501149999705
2,extra_trees_target,11.925898748213678,7.6778593848975705,,160.74254839999776
2,lgb_base,12.017704276440357,7.779714712533741,660.0,173.79681010000058
2,lgb_wide,12.081243224538403,7.954124389375706,580.0,200.9355071999962
2,lgb_segmented,12.572358835333647,8.156041554474378,552.0,223.8311290999991
2,xgb_d4,12.352434750275947,7.909243336548128,1095.0,248.72682429999986
2,cat_d6,12.19691891830167,7.750423670747308,1465.0,326.8556591000015
2,ridge,14.727762925885909,9.992546891952625,,327.88432009999815
2,extra_trees,11.988018135894357,7.75430925359496,,386.8341605999958
3,lgb_target,12.368458218213325,7.854282557230236,568.0,15.229524599999422
3,cat_target,12.25004918238099,7.822024487832524,1805.0,120.61583599999722
3,extra_trees_target,12.3411292572414,7.83769963733772,,175.2530442999996
3,lgb_base,12.300953497043468,7.916647210545098,641.0,188.6432866000032
3,lgb_wide,12.437004071085008,8.050236348995794,527.0,213.3940309000027
3,lgb_segmented,12.871837582866785,8.189296650383692,565.0,245.84694579999632
3,xgb_d4,12.472021026666368,8.075503100214698,765.0,265.56321420000313
3,cat_d6,12.203326451473313,7.831883199053612,1686.0,366.0223693000007
3,ridge,14.797222071221041,9.946061117883604,,366.79409000000305
3,extra_trees,12.438958224621743,7.900722457136534,,427.088155999998
4,lgb_target,11.794938072930572,7.555673524620333,519.0,15.05955879999965
4,cat_target,11.667443436871135,7.435376814014135,2147.0,139.5970041000037
4,extra_trees_target,12.233684725238453,7.597594920481889,,194.4954566000015
4,lgb_base,11.866501194759135,7.654031053375313,526.0,204.42596390000108
4,lgb_wide,12.056204148141418,7.801938768458452,530.0,227.0273329000047
4,lgb_segmented,12.303716292357995,7.899059192492742,486.0,252.37797610000416
4,xgb_d4,11.998484374960178,7.771810750712655,1014.0,274.3939104000019
4,cat_d6,11.786980351549866,7.484347189533098,1760.0,349.8119649
4,ridge,14.812069549014113,9.902780264608301,,350.92230500000005
4,extra_trees,12.29833748716593,7.687044487674201,,407.3899414000043
5,lgb_target,11.891938123858221,7.681585707870972,484.0,16.142923400002473
5,cat_target,12.118600092431583,7.7641320294715,1888.0,118.88324170000124
5,extra_trees_target,12.246478333900612,7.732503872102843,,177.46943450000254
5,lgb_base,12.126009343182378,7.857514584539253,555.0,189.98529039999994
5,lgb_wide,12.305423205857604,8.014712730726508,531.0,216.67128810000577
5,lgb_segmented,12.465724512488848,8.053111030927736,421.0,246.57429609999963
5,xgb_d4,12.214401925451783,7.941284893592256,1309.0,274.03195880000567
5,cat_d6,12.12236279708356,7.837980054546199,1603.0,362.1109737000006
5,ridge,14.485917021206332,9.656118564408006,,363.11350700000185
5,extra_trees,12.334808849392068,7.821277106438944,,424.6808087000027
