name,rmse,mae,r2
cat_num_d6,11.220914946896274,6.976481033453289,0.7660239707309069
cat_num_d7_deep,11.200485970498809,6.92102274283556,0.7668751561519684
ridge_te40,14.474346946800818,9.386256506842424,0.6106745608267103
lgb_base,11.207147370677607,6.963439562993763,0.7665977753884329
lgb_base_log,11.46680903580413,6.885937213387994,0.7556569529316655
lgb_extra_wide,11.271811614884633,6.951974533465333,0.7638965848097429
xgb_d4,11.277175028287177,7.033175931565629,0.7636718433860379
hgb,11.573774804967144,7.240595505237943,0.7510770832169116
ensemble_v6_linear_standard,12.038053248157752,,
ensemble_v6_linear_group_aware,12.044686574788798,,
ensemble_v6_stack_ridge,11.98827846329186,,
ensemble_v6_stack_lgb,12.263874739511431,,
ensemble_v6_CHOSEN_stack_ridge,11.98827846329186,,
final_high_tail_t85_a0p316_public_confirmed,,,
