name,oof_rmse,group_proxy,pred_mean,pred_std,p95,p99,max
tail_t65_a0.02,11.024470619263948,11.934504231953127,34.66025496934596,20.900854963652836,77.22136923056054,109.35804200359257,151.69916312409975
qtail_q0.900_a0.02,11.024686930619671,11.934668190372133,34.66975966986103,20.922505097500988,77.31895692946965,109.45562970250167,151.69916312409975
tail_t60_a0.02,11.02469065747389,11.93467088010228,34.67002433931308,20.92307874976039,77.32136923056055,109.45804200359257,151.69916312409975
tail_t70_a0.02,11.024522591347411,11.934676157191902,34.652333706685276,20.881310421519657,77.12136923056055,109.25804200359256,151.69916312409975
qtail_q0.950_a0.02,11.024483688071447,11.934742594237326,34.64526983710414,20.862146871215135,77.00330739849068,109.1399801715227,151.69916312409975
tail_t75_a0.02,11.024498032450413,11.934743037610982,34.64621912087775,20.86483279757511,77.02136923056054,109.15804200359257,151.69916312409975
tail_t80_a0.02,11.024507757921022,11.934839121428942,34.64139841181596,20.850848329051804,76.98173453976524,109.05804200359256,151.69916312409975
base,11.02458508266491,11.934983203094014,34.626955656358376,20.798498980796584,76.98173453976524,108.48827647411036,151.69916312409975
tail_t55_a0.02,11.025049062507843,11.93501986314922,34.682511357508716,20.94859375743095,77.42136923056054,109.55804200359256,151.69916312409975
qtail_q0.950_a0.04,11.024901089126415,11.935065469792209,34.66358401784989,20.926124560730603,77.02488025721611,109.79168386893504,151.69916312409975
tail_t80_a0.04,11.024772517747701,11.935078224258376,34.655841167273536,20.90346863102536,76.98173453976524,109.62780753307477,151.69916312409975
tail_t75_a0.04,11.024976524362726,11.935113877002188,34.66548258539712,20.93151036562476,77.06100392135585,109.82780753307478,151.69916312409975
qtail_q0.975_a0.02,11.024702229860072,11.935135919728443,34.63463865557276,20.829182745039464,76.98173453976524,108.85180381896218,151.69916312409975
tail_t70_a0.04,11.025342856045338,11.935301720262789,34.67771175701217,20.964546502117546,77.26100392135584,110.02780753307476,151.69916312409975
mean_stretch_1.005,11.025034875816788,11.935371842080738,34.62871741619476,20.89878293896836,77.19593062461165,108.86000526862848,151.69916312409975
qtail_q0.975_a0.04,11.024916278012956,11.93541518464561,34.64232165478714,20.86001870082106,76.98173453976524,109.215331163814,151.69916312409975
tail_t65_a0.04,11.025700280382349,11.93542233424624,34.69355428233352,21.00371833071224,77.46100392135584,110.22780753307477,151.69916312409975
qtail_q0.975_a0.06,11.025310067353539,11.935897759849789,34.650004654001506,20.891006174219086,76.98173453976524,109.57885850866583,151.69916312409975
tail_t80_a0.06,11.025703871700744,11.936001045491306,34.670283922731116,20.956357845666147,76.98173453976524,110.19757306255698,151.69916312409975
qtail_q0.950_a0.06,11.0262583381954,11.936341551536861,34.68189819859566,20.990429033713916,77.04645311594156,110.44338756634738,151.69916312409975
qtail_q0.900_a0.04,11.026772762564002,11.936392564944482,34.71256368336368,21.04710152988774,77.65617931917406,110.42298293089299,151.69916312409975
tail_t60_a0.04,11.026798047888617,11.93641590293679,34.713093022267785,21.048250789138017,77.66100392135584,110.42780753307477,151.69916312409975
tail_t75_a0.06,11.026462924125179,11.936505113676478,34.68474604991649,20.99852841035936,77.10063861215116,110.49757306255698,151.69916312409975
qtail_q0.975_a0.08,11.026068677110539,11.936755141286337,34.65768765321589,20.922144492002182,76.98173453976524,109.94238585351765,151.69916312409975
mean_stretch_1.010,11.026428983917945,11.936755252298425,34.630479176031145,20.99908461886833,77.41012670945805,109.23173406314663,151.69916312409975
tail_t70_a0.06,11.027606475140587,11.937378252166202,34.70308980733907,21.04820218481728,77.40063861215116,110.79757306255698,151.69916312409975
tail_t80_a0.08,11.027406176022398,11.937703877971394,34.68472667818869,21.00951394209724,76.98173453976524,110.76733859203918,151.69916312409975
tail_t55_a0.04,11.028355438394234,11.937965363024048,34.738067058659055,21.099354102358944,77.86100392135585,110.62780753307477,151.69916312409975
tail_t65_a0.06,11.028911601031833,11.938326208062495,34.72685359532111,21.107081663909245,77.70063861215115,111.09757306255698,151.69916312409975
qtail_q0.950_a0.08,11.028627411798352,11.938636732952029,34.70021237934141,21.055057296066757,77.068025974667,111.09509126375973,151.69916312409975
tail_t75_a0.08,11.029022035071959,11.938975886582835,34.70400951443585,21.06588368224801,77.14027330294645,111.16733859203919,151.69916312409975
mean_stretch_1.015,11.02873819854791,11.939106208216018,34.632240935867515,21.09940376776151,77.62432279430446,109.60346285766475,151.69916312409975
tail_t80_a0.10,11.029732034810763,11.939966751262276,34.699169433646276,21.062934899746438,76.98173453976524,111.33710412152139,151.69916312409975
qtail_q0.900_a0.06,11.031479289156454,11.940742943307612,34.75536769686634,21.172277856138695,77.99340170887847,111.3903361592843,151.69916312409975
tail_t60_a0.06,11.03154393898383,11.940804825496532,34.75616170522248,21.174004595152045,78.00063861215115,111.39757306255699,151.69916312409975
tail_t70_a0.08,11.0313383049436,11.940927100936788,34.72846785766596,21.132272486421332,77.54027330294646,111.56733859203919,151.69916312409975
tail_t75_a0.10,11.032346507426075,11.942067491489507,34.72327297895522,21.13357295693888,77.17990799374176,111.83710412152139,151.69916312409975
mean_stretch_1.020,11.031786559145129,11.942261594930779,34.63400269570389,21.19974013765319,77.83851887915088,109.9751916521829,151.69916312409975
tail_t65_a0.08,11.033991368028241,11.94304515267959,34.76015290830868,21.210937654068044,77.94027330294647,111.96733859203918,151.69916312409975
tail_t55_a0.06,11.03513927979662,11.944402858518496,34.793622759809395,21.250765850264447,78.30063861215116,111.69757306255698,151.69916312409975
tail_t70_a0.10,11.036068792432914,11.945247192305008,34.75384590799286,21.216752478211355,77.67990799374176,112.33710412152139,151.69916312409975
mean_stretch_1.025,11.035772183879077,11.946404691096138,34.635764455540276,21.300093485179296,78.05271496399729,110.34692044670102,151.69916312409975
qtail_q0.900_a0.08,11.03856771836349,11.94736055215815,34.79817171036898,21.298023851507185,78.33062409858289,112.3576893876756,151.69916312409975
tail_t60_a0.08,11.038686409474646,11.947474186014677,34.79923038817718,21.300329863828104,78.34027330294646,112.36733859203919,151.69916312409975
tail_t65_a0.10,11.040639853382265,11.949130177183672,34.793452221296256,21.31527909996442,78.17990799374176,112.83710412152139,151.69916312409975
mean_stretch_1.030,11.040694057709505,11.951534251048518,34.63752621537665,21.400463571499813,78.2669110488437,110.71864924121918,151.69916312409975
tail_t55_a0.08,11.04502749761873,11.953772489521985,34.84917846095973,21.402815176326175,78.74027330294646,112.76733859203918,151.69916312409975
tail_t60_a0.10,11.048139358029749,11.956292431494964,34.842299071131876,21.427216487905074,78.67990799374176,113.33710412152139,151.69916312409975
mean_stretch_1.040,11.053341311993577,11.964746453426368,34.64104973504941,21.601253027164717,78.69530321853651,111.46210683025544,151.69916312409975
tail_t55_a0.10,11.05814260089619,11.96625561597163,34.90473416211006,21.55548858839364,79.17990799374176,113.83710412152139,151.69916312409975
