name,oof_rmse,group_proxy,pred_mean,pred_std,p95,p99,max
blend_v6inv001_v8_beta65,11.01704054258059,11.927553085371725,34.610753555577986,20.79420667014591,76.81711981744283,108.63624452229452,157.4829283776695
blend_v6inv001_v8_beta50,11.017405402812923,11.927780593244268,34.60769875764379,20.76672445252136,76.84599974651307,108.53414944228167,153.56915617414194
blend_v6inv001_v8_beta80,11.017614130109628,11.928355988567464,34.61380835351218,20.822184219606413,76.90092092820366,108.73833960230736,161.3967005811971
blend_v6inv001_v8_beta35,11.018708617582742,11.929038495360643,34.604643959709605,20.73973953582469,76.81498193902937,108.39591297535425,149.65538397061434
v8_base,11.019838433299178,11.9310289055303,34.61788141742442,20.860254685300934,76.94939243812543,108.87446637565782,166.6150635192339
blend_v6inv001_v8_beta20,11.02094985401199,11.931326501738729,34.601589161775415,20.713253863684585,76.8162913097293,108.24911900421783,145.74161176708677
v8_inverse_t65_a0p005,11.02027768529155,11.931541019906597,34.60901652802893,20.831626509725055,76.8896454759348,108.65509404377953,166.10698820163773
v8_inverse_t65_a0p01,11.020843101398894,11.932179688747402,34.60015163863343,20.803034049322157,76.82989851374417,108.43572171190124,165.59891288404157
v8_inverse_t65_a0p015,11.021534662204157,11.932944909340955,34.59128674923794,20.774477451559434,76.77015155155354,108.21634938002295,165.0908375664454
v8_inverse_t65_a0p02,11.022352343963759,11.933836671994923,34.582421859842434,20.74595686453057,76.71040458936292,107.99697704814467,164.58276224884924
v8_inverse_t65_a0p03,11.024365953764102,11.935999749811085,34.56469208105144,20.68902431819195,76.59091066498166,107.55823238438808,163.56661161365687
v8_inverse_t65_a0p05,11.029905100959223,11.941843209211589,34.52923252346946,20.575597940387862,76.35192281621916,106.68074305687493,161.5343103432722
